Date,Open,High,Low,Close,Adj Close,Volume
1981-03-06,4.914431,4.914431,4.842160,4.842160,1.016487,85600
1981-03-09,4.842160,4.871068,4.827706,4.842160,1.016487,250700
1981-03-10,4.842160,4.856614,4.755435,4.755435,0.998281,929600
1981-03-11,4.755435,4.798798,4.712072,4.726526,0.992213,715100
1981-03-12,4.726526,4.769889,4.726526,4.755435,0.998281,253300
1981-03-13,4.755435,4.957794,4.712072,4.943339,1.037727,1700100
1981-03-16,5.058973,5.232424,5.058973,5.232424,1.098413,595800
1981-03-17,5.232424,5.261332,5.203515,5.203515,1.092344,638200
1981-03-18,5.203515,5.275786,5.203515,5.275786,1.107515,181600
1981-03-19,5.275786,5.391420,5.275786,5.391420,1.131790,278400
1981-03-20,5.420329,5.521508,5.420329,5.521508,1.159098,301800
1981-03-23,5.521508,5.593779,5.478145,5.564870,1.168202,290500
1981-03-24,5.564870,5.651596,5.507054,5.507054,1.156065,379600
1981-03-25,5.463691,5.463691,5.405874,5.449237,1.143927,163400
1981-03-26,5.449237,5.463691,5.376966,5.420329,1.137859,76900
1981-03-27,5.420329,5.420329,5.246878,5.246878,1.101448,84700
1981-03-30,5.246878,5.246878,5.174607,5.174607,1.086275,333800
1981-03-31,5.174607,5.246878,5.174607,5.174607,1.086275,329400
1981-04-01,5.174607,5.304695,5.174607,5.261332,1.104481,255100
1981-04-02,5.261332,5.348057,5.217969,5.348057,1.122687,199700
1981-04-03,5.348057,5.348057,5.304695,5.319149,1.116619,164300
1981-04-06,5.319149,5.319149,5.232424,5.275786,1.107515,217000
1981-04-07,5.217969,5.217969,5.102336,5.102336,1.071104,183300
1981-04-08,5.131244,5.174607,5.131244,5.174607,1.086275,386500
1981-04-09,5.217969,5.304695,5.217969,5.304695,1.113584,565500
1981-04-10,5.304695,5.492599,5.275786,5.275786,1.107515,339000
1981-04-13,5.261332,5.261332,5.087882,5.087882,1.068070,262800
1981-04-14,5.087882,5.087882,4.972248,5.058973,1.062001,114100
1981-04-15,5.058973,5.102336,5.058973,5.102336,1.071104,785200
1981-04-16,5.160152,5.232424,5.160152,5.174607,1.086275,361400
1981-04-20,5.174607,5.189061,5.116790,5.189061,1.089310,79500
1981-04-21,5.189061,5.246878,5.174607,5.189061,1.089310,558600
1981-04-22,5.189061,5.290240,5.189061,5.246878,1.101448,360600
1981-04-23,5.304695,5.348057,5.304695,5.319149,1.116619,380500
1981-04-24,5.319149,5.391420,5.319149,5.319149,1.116619,345000
1981-04-27,5.319149,5.333603,5.290240,5.290240,1.110550,130500
1981-04-28,5.290240,5.304695,5.189061,5.189061,1.089310,454000
1981-04-29,5.189061,5.232424,5.174607,5.174607,1.086275,562100
1981-04-30,5.174607,5.304695,5.174607,5.304695,1.113584,94200
1981-05-01,5.319149,5.405874,5.319149,5.391420,1.131790,163400
1981-05-04,5.391420,5.391420,5.275786,5.275786,1.107515,331200
1981-05-05,5.246878,5.246878,5.160152,5.189061,1.089310,270600
1981-05-06,5.217969,5.304695,5.217969,5.275786,1.107515,147800
1981-05-07,5.304695,5.405874,5.304695,5.391420,1.131790,91600
1981-05-08,5.376966,5.376966,5.246878,5.246878,1.101448,542200
1981-05-11,5.246878,5.261332,5.160152,5.174607,1.086275,115800
1981-05-12,5.174607,5.246878,5.131244,5.232424,1.098413,84700
1981-05-13,5.290240,5.405874,5.290240,5.405874,1.134825,156500
1981-05-14,5.405874,5.420329,5.319149,5.391420,1.131790,315600
1981-05-15,5.391420,5.391420,5.290240,5.333603,1.119653,137500
1981-05-18,5.333603,5.376966,5.160152,5.160152,1.083241,181600
1981-05-19,5.174607,5.203515,5.174607,5.174607,1.086275,294000
